feature,importance
cat__proto_leaf-1,1.8208630674595956e-10
cat__proto_crudp,1.5112479856832815e-10
cat__proto_wb-mon,1.3062105227926796e-10
cat__proto_stp,1.1799084114174328e-10
cat__proto_compaq-peer,8.555871749684133e-11
cat__proto_xtp,6.424399081882136e-11
cat__proto_hmp,3.865339634081188e-11
cat__proto_ipv6-frag,3.4315757468619554e-11
cat__proto_crtp,1.7366365284047036e-11
cat__ct_flw_http_mthd_36.0,1.5087233533977018e-11
cat__ct_flw_http_mthd_8.0,9.578060279029242e-12
cat__proto_ipcomp,3.9381809175774965e-12
cat__ct_ftp_cmd_6,1.4459321542046323e-12
cat__ct_flw_http_mthd_5.0,4.883787043908715e-13
cat__proto_gmtp,3.9804369701241276e-13
cat__proto_ax.25,7.585901883736951e-14
cat__is_ftp_login_2.0,5.6165527357677707e-14
cat__ct_ftp_cmd_3,6.872927033244542e-18
cat__ct_ftp_cmd_8,2.2769657880042177e-18
cat__proto_skip,0.0
cat__proto_vines,0.0
